generation,best_TOTFIT,gen_best_TOTFIT,d0p,d1p,d2p,dunp,ATT,F1,F2,F3
1,10.482758910866725,10.482758910866725,7.564118796525587,44.23752102834997,13.044952790446986,35.15340738467744,17.403851598422516,4.395157336574131,1.88252100047499,4.205080573817605
2,10.497682404972121,10.497682404972121,7.581127823957644,44.42107562620575,12.844389165159164,35.15340738467744,17.387002123913316,4.406729663820214,1.8858721673343033,4.205080573817605
3,10.547134544946951,10.547134544946951,7.67426502522503,44.7237784661742,12.584546242706818,35.01741026589397,17.353731507914354,4.428266672453591,1.8961309039422192,4.222736968551141
4,10.57521628423637,10.57521628423637,7.746570427494151,45.061701756869546,12.320101325878904,34.87162648975743,17.351445454288864,4.427371440295354,1.9061398078513512,4.241705036089666
5,10.605272680187941,10.605272680187941,7.730635181366248,45.11402697157683,12.421934101986826,34.73340374507009,17.333899029318093,4.437365111046689,1.9081789824372208,4.259728586704031
6,10.634119163690833,10.634119163690833,7.805297419786486,45.356364034461166,12.211537513209255,34.62680103254311,17.337307192035713,4.444100373862448,1.9163636465896787,4.273655143238705
7,10.644189887621652,10.644189887621652,7.863614399850646,45.63527779423463,11.770275341941655,34.730832463973044,17.298075392255566,4.462764392064075,1.9213612647116212,4.2600642308459555
8,10.66772622671817,10.66772622671817,7.945316233542725,45.726828680941416,11.606366588158172,34.72148849735767,17.286121252541665,4.480138035800249,1.926304126917313,4.261284064000606
9,10.713802320343667,10.713802320343667,7.966014893839522,45.973459056836624,11.732967461148922,34.32755858817493,17.30710817078394,4.464590685780067,1.9363420735740036,4.312869560989596
10,10.713802320343667,10.713802320343667,7.966014893839522,45.973459056836624,11.732967461148922,34.32755858817493,17.30710817078394,4.464590685780067,1.9363420735740036,4.312869560989596
11,10.727768669513805,10.727768669513805,7.986922384344992,46.12282838750586,11.565886409124227,34.32436281902493,17.29218227021503,4.475061740079361,1.9394176103073704,4.313289319127074
12,10.732506419148912,10.732506419148912,7.95667579020207,46.257767855182976,11.457468382785159,34.32808797182979,17.28421818228749,4.479710571799478,1.9399958179137053,4.312800029435728
13,10.754598210144538,10.754598210144538,8.011842036038686,46.538985123308606,11.124810021627782,34.32436281902493,17.261305604461892,4.494878199411753,1.9464306916057104,4.313289319127074
14,10.76869069398116,10.76869069398116,8.088419563437917,46.68126539885428,10.905371051679511,34.32494398602828,17.248878117657743,4.503740852926557,1.9517368586162818,4.313212982438323
15,10.775608956455592,10.775608956455592,8.05643395010721,46.77937108509319,10.83498658887234,34.32920837592727,17.236905974626513,4.511249447359106,1.951706636564108,4.31265287253238
16,10.77865588156449,10.77865588156449,8.090854268397761,46.87629928122863,10.70846953283347,34.32437691754014,17.23806467284768,4.510732911882558,1.9546355024125965,4.313287467269335
17,10.790415141055613,10.790415141055613,8.139597338405789,46.91419131063473,10.612268347040256,34.33394300391923,17.22370170186125,4.521254952186901,1.9571291474561838,4.312031041412528
18,10.797417014598086,10.797417014598086,8.142240062070202,46.91755162100219,10.61062510154171,34.329583215385895,17.21501272136192,4.5274606797642045,1.9573526941689559,4.312603640664926
19,10.798492779622464,10.798492779622464,8.089460128056466,47.093067161629364,10.493676959777362,34.32379575053678,17.21300890449621,4.52744823507294,1.9576807399323135,4.313363804617211
20,10.819322318403163,10.819322318403163,8.124303285513673,47.24551045623477,10.31035968356203,34.319826574689536,17.189610947327154,4.544028655251644,1.9614084819726605,4.3138851811788586
21,10.830570555979202,10.830570555979202,8.185579794518608,47.238839986962326,10.255186575341396,34.320393643177674,17.177081775045796,4.552828640115774,1.9639312246762923,4.313810691187136
22,10.852887202966002,10.852887202966002,8.309031323352395,47.39573779830394,9.97540430365412,34.319826574689536,17.156031202243902,4.567530519020407,1.9714715027667369,4.3138851811788586
23,10.852887202966002,10.852887202966002,8.309031323352395,47.39573779830394,9.97540430365412,34.319826574689536,17.156031202243902,4.567530519020407,1.9714715027667369,4.3138851811788586
24,10.86253699987363,10.86253699987363,8.354164328853997,47.500388159645546,9.827256952832652,34.31819055866783,17.147006915856817,4.573512757135591,1.9749241512505675,4.3141000914874725
25,10.871168842986435,10.871168842986435,8.281399191568724,47.656252180328536,9.742522053413182,34.319826574689536,17.131526889101035,4.583274759231217,1.9740089025763594,4.3138851811788586
26,10.871168842986435,10.871168842986435,8.281399191568724,47.656252180328536,9.742522053413182,34.319826574689536,17.131526889101035,4.583274759231217,1.9740089025763594,4.3138851811788586
27,10.890219211598534,10.890219211598534,8.412838298211987,47.76154240383846,9.507428739281716,34.31819055866783,17.116384419423074,4.594949595256683,1.9811695248543801,4.3141000914874725
28,10.890219211598534,10.890219211598534,8.412838298211987,47.76154240383846,9.507428739281716,34.31819055866783,17.116384419423074,4.594949595256683,1.9811695248543801,4.3141000914874725
29,10.893412772770386,10.893412772770386,8.418781244210143,47.78976072422038,9.47326747290165,34.31819055866783,17.112793090714568,4.597485339880299,1.9818273414026137,4.3141000914874725
30,10.909148759637336,10.909148759637336,8.479041414236224,47.96425040949309,9.23851761760286,34.31819055866783,17.097905898170133,4.608146038242235,1.9869026299076276,4.3141000914874725
31,10.910830789356783,10.910830789356783,8.443043842318161,48.03377748695829,9.20498811205574,34.31819055866783,17.094313536320854,4.610377577080096,1.986353120789214,4.3141000914874725
32,10.920933526335304,10.920933526335304,8.49794303303015,48.09162595529612,9.09224045300589,34.31819055866783,17.085155190949116,4.617301084908992,1.9895323499388387,4.3141000914874725
33,10.927017610897767,10.927017610897767,8.48030457035191,48.17735399179843,9.023022990233967,34.31931844761573,17.07487081206664,4.6230806923515075,1.9899849893605492,4.313951929185711
